variant_id,family,side,trade_count,fill_count,profit_factor,hit_rate,mean_trade_return_bps,median_trade_return_bps,walk_forward_pass_rate,gate_passed
long_breakout_5m_thr0p004_hold3_v1,long_breakout_5m,long,1313,2626,0.33127489798510834,0.26808834729626807,-10.66408827913302,-10.605438327704544,0.0,False
long_breakout_5m_thr0p004_hold5_v1,long_breakout_5m,long,1166,2332,0.3775334695629869,0.30102915951972553,-10.571273632226024,-10.611325741414996,0.0,False
long_breakout_5m_thr0p004_hold10_v1,long_breakout_5m,long,1053,2106,0.47173131188834727,0.3295346628679962,-9.954800519228888,-10.899894816057369,0.0,False
long_breakout_5m_thr0p004_hold15_v1,long_breakout_5m,long,963,1926,0.5494341344355875,0.35202492211838005,-9.177025966198185,-10.738251279783949,0.0,False
long_breakout_5m_thr0p005_hold2_v1,long_breakout_5m,long,801,1602,0.3684592413914275,0.2808988764044944,-9.146104859404796,-10.605438327702647,0.0,False
long_breakout_5m_thr0p005_hold3_v1,long_breakout_5m,long,726,1452,0.35702250537133345,0.28512396694214875,-10.62799359846834,-10.6054383277046,0.0,False
long_breakout_5m_thr0p005_hold5_v1,long_breakout_5m,long,657,1314,0.43322381105098323,0.3257229832572298,-9.884988138702214,-10.60543832770338,0.0,False
long_breakout_5m_thr0p005_hold10_v1,long_breakout_5m,long,600,1200,0.5500884016928631,0.3616666666666667,-9.026825528521753,-10.619542532270776,0.0,False
long_breakout_5m_thr0p005_hold15_v1,long_breakout_5m,long,562,1124,0.5121152730273745,0.34341637010676157,-11.403468777678205,-12.71855478298681,0.0,False
long_breakout_5m_thr0p0075_hold2_v1,long_breakout_5m,long,225,450,0.48423791688081297,0.3511111111111111,-8.912963113541101,-10.29987849904376,0.0,False
long_breakout_5m_thr0p0075_hold3_v1,long_breakout_5m,long,193,386,0.510447013493109,0.40414507772020725,-9.15353369899978,-7.468429955262344,0.0,False
long_breakout_5m_thr0p0075_hold5_v1,long_breakout_5m,long,181,362,0.6128690530251165,0.3867403314917127,-8.72081845843002,-9.772961183185037,0.0,False
long_breakout_5m_thr0p0075_hold10_v1,long_breakout_5m,long,170,340,0.6368588785030729,0.34705882352941175,-10.05976302677181,-14.34866104921602,0.0,False
long_breakout_5m_thr0p0075_hold15_v1,long_breakout_5m,long,162,324,0.5877904161908547,0.345679012345679,-13.289542720388441,-17.33712620738081,0.0,False
short_breakdown_5m_thr0p0015_hold2_v1,short_breakdown_5m,short,7785,15570,0.16799587497131718,0.17135517019910085,-12.038020040982353,-10.606080781711533,0.0,False
short_breakdown_5m_thr0p0015_hold3_v1,short_breakdown_5m,short,6864,13728,0.19984204867347036,0.20032051282051283,-12.270537305594333,-10.606080781711864,0.0,False
short_breakdown_5m_thr0p0015_hold5_v1,short_breakdown_5m,short,5859,11718,0.22989399587350579,0.2220515446321898,-13.064031588848648,-10.642794156167774,0.0,False
short_breakdown_5m_thr0p0015_hold10_v1,short_breakdown_5m,short,4855,9710,0.29691178941628565,0.26385169927909374,-13.47461597637914,-12.588965808672317,0.0,False
short_breakdown_5m_thr0p0015_hold15_v1,short_breakdown_5m,short,4169,8338,0.3162719419620575,0.27368673542816024,-14.046544104970055,-13.75060812899155,0.0,False
short_breakdown_5m_thr0p002_hold2_v1,short_breakdown_5m,short,6203,12406,0.1769564425131215,0.1807190069321296,-12.214894920336562,-10.6060807817116,0.0,False
short_breakdown_5m_thr0p002_hold3_v1,short_breakdown_5m,short,5468,10936,0.21389299973784504,0.21013167520117046,-12.427392728265366,-10.606080781711885,0.0,False
