event_id,entry_timestamp,trigger_state,context_state,label_horizon,label_timestamp,label_return_bps,future_label_used_for_signal,simulated_order_intent,broker_or_private_endpoint_called
pullback_reclaim_24_dd100_4htrend100_v1_00086,2024-05-20T23:15:00+00:00,"{""prior_high"": 70000.0, ""pullback_depth"": 0.01517057, ""pullback_low"": 68938.06, ""volume_ratio"": 3.35089478}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-20T23:15:00+00:00"", ""trend_4h"": 0.01757964}",60m,2024-05-21T00:15:00+00:00,179.365921,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00087,2024-05-20T23:20:00+00:00,"{""prior_high"": 70000.0, ""pullback_depth"": 0.01507529, ""pullback_low"": 68944.73, ""volume_ratio"": 2.02885801}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-20T23:20:00+00:00"", ""trend_4h"": 0.01757964}",60m,2024-05-21T00:20:00+00:00,98.817259,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00088,2024-05-20T23:25:00+00:00,"{""prior_high"": 70000.0, ""pullback_depth"": 0.01334829, ""pullback_low"": 69065.62, ""volume_ratio"": 5.08741024}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-20T23:25:00+00:00"", ""trend_4h"": 0.01757964}",60m,2024-05-21T00:25:00+00:00,20.192702,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00089,2024-05-20T23:30:00+00:00,"{""prior_high"": 70000.0, ""pullback_depth"": 0.01334829, ""pullback_low"": 69065.62, ""volume_ratio"": 2.13350585}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-20T23:30:00+00:00"", ""trend_4h"": 0.0315945}",60m,2024-05-21T00:30:00+00:00,6.118939,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00090,2024-06-17T18:00:00+00:00,"{""prior_high"": 65865.94, ""pullback_depth"": 0.01053473, ""pullback_low"": 65172.06, ""volume_ratio"": 2.49510037}","{""context_interval"": ""15m"", ""feature_time"": ""2024-06-17T18:00:00+00:00"", ""trend_4h"": 0.01686094}",60m,2024-06-17T19:00:00+00:00,37.793624,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00091,2024-06-17T18:05:00+00:00,"{""prior_high"": 65838.02, ""pullback_depth"": 0.01011513, ""pullback_low"": 65172.06, ""volume_ratio"": 1.7407626}","{""context_interval"": ""15m"", ""feature_time"": ""2024-06-17T18:05:00+00:00"", ""trend_4h"": 0.01686094}",60m,2024-06-17T19:05:00+00:00,1.698458,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00092,2024-07-05T11:10:00+00:00,"{""prior_high"": 54796.13, ""pullback_depth"": 0.01581298, ""pullback_low"": 53929.64, ""volume_ratio"": 3.01447656}","{""context_interval"": ""15m"", ""feature_time"": ""2024-07-05T11:10:00+00:00"", ""trend_4h"": 0.0126448}",60m,2024-07-05T12:10:00+00:00,1.406262,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00093,2024-07-05T15:05:00+00:00,"{""prior_high"": 55887.27, ""pullback_depth"": 0.01810162, ""pullback_low"": 54875.62, ""volume_ratio"": 14.233738}","{""context_interval"": ""15m"", ""feature_time"": ""2024-07-05T15:05:00+00:00"", ""trend_4h"": 0.01510592}",60m,2024-07-05T16:05:00+00:00,42.313044,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00094,2024-07-09T04:30:00+00:00,"{""prior_high"": 57249.56, ""pullback_depth"": 0.01011676, ""pullback_low"": 56670.38, ""volume_ratio"": 2.20774567}","{""context_interval"": ""15m"", ""feature_time"": ""2024-07-09T04:30:00+00:00"", ""trend_4h"": 0.01414056}",60m,2024-07-09T05:30:00+00:00,-5.642179,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00095,2024-07-15T00:45:00+00:00,"{""prior_high"": 61401.55, ""pullback_depth"": 0.01190003, ""pullback_low"": 60670.87, ""volume_ratio"": 1.75407373}","{""context_interval"": ""15m"", ""feature_time"": ""2024-07-15T00:45:00+00:00"", ""trend_4h"": 0.01448238}",60m,2024-07-15T01:45:00+00:00,22.11848,False,long_target_position_replay,False
