sample_index,sample_captured_at,timestamp,ts,symbol,side,level,price,size,liquidation_orders,order_count,source_record_id
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,34,63916.3,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:34
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,35,63916.4,1.11,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:35
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,36,63916.5,142.21,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:36
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,37,63916.6,12.52,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:37
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,38,63916.7,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:38
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,39,63916.8,376.44,0,5,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:39
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,40,63916.9,1,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:40
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,41,63917.1,0.31,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:41
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,42,63917.2,83.01,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:42
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,43,63917.3,1.57,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:43
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,44,63917.4,65.4,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:44
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,45,63917.7,8.01,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:45
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,46,63917.8,1.57,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:46
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,47,63918,0.03,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:47
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,48,63918.1,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:48
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,49,63918.2,10.63,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:49
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,50,63918.3,62.75,0,4,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:50
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,1,63910.6,154.52,0,8,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:1
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,2,63910.5,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:2
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,3,63910,0.39,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:3
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,4,63909.6,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:4
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,5,63909.1,0.05,0,4,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:5
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,6,63909,38.52,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:6
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,7,63908.9,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:7
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,8,63908.4,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:8
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,9,63908.1,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:9
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,10,63908,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:10
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,11,63907.9,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:11
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,12,63907.8,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:12
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,13,63907.7,1,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:13
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,14,63907.6,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:14
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,15,63907.5,0.04,0,3,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:15
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,16,63907.4,3,0,3,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:16
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,17,63907.3,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:17
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,18,63907.2,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:18
